id,Name,titleProject_id,class,score,login,password
0,Сербин Геннадий Михаилович,7,8в,2,Сербин_ГМ,Zs5mVj0f
1,Папандина Клавдия Яковлевна,304,9в,5,Папандина_КЯ,w08oCSbz
2,Белагина Галина Андреевна,396,9а,4,Белагина_ГА,qSz6yoE2
3,Кижняева Анна Леонидовна,178,7и,2,Кижняева_АЛ,0c9tgqPL
4,Цывин Олег Яковлевич,446,7т,2,Цывин_ОЯ,m2jKN6iw
5,Жидняева Ксения Эдуардовна,373,7х,4,Жидняева_КЭ,ba66eTqM
6,Липковский Анатолий Иванович,144,10а,2,Липковский_АИ,9kvckL2L
7,Меднова Наталья Богдановна,290,7и,5,Меднова_НБ,4zaqR5Mv
8,Житихин Вячеслав Романович,141,9а,5,Житихин_ВР,iwBn8D2q
9,Шеврина Полина Максимовна,33,11а,5,Шеврина_ПМ,7lHlt5Zs
10,Алпеев Валентин Данилович,323,8а,2,Алпеев_ВД,z4ARw9fo
11,Золикова Клара Игоревна,364,10х,2,Золикова_КИ,R8qzsL9g
12,Дориков Дмитрий Петрович,296,10г,5,Дориков_ДП,km12uWIg
13,Корабышев Кирилл Михаилович,302,8и,5,Корабышев_КМ,gl6oUoF3
14,Ростовиков Константин Николаевич,336,10а,2,Ростовиков_КН,3O9mbkIn
15,Нехаев Дмитрий Фёдорович,129,7х,4,Нехаев_ДФ,c8uIf1Vu
16,Зызлова Мария Николаевна,430,8г,3,Зызлова_МН,w1cx4BPt
17,Королупов Валерий Тимофеевич,397,10д,5,Королупов_ВТ,Cl6kbe1T
18,Стенцов Евгений Яковлевич,315,8и,4,Стенцов_ЕЯ,4daD5cuI
19,Феклисов Константин Виталиевич,270,9т,None,Феклисов_КВ,v0K0kekM
20,Синелев Руслан Тимофеевич,300,8и,2,Синелев_РТ,Hqc8mkT8
21,Опевалова Вера Евгеньевна,473,9д,5,Опевалова_ВЕ,8BooWx2v
22,Назерова Вероника Василевна,206,7б,5,Назерова_ВВ,trP7s8Db
23,Дименская Светлана Дмитриевна,387,9д,5,Дименская_СД,sO3sy9Xx
24,Ковторева Раиса Василевна,482,9и,2,Ковторева_РВ,V3uepK6z
